Month,Samplingpoint,ExceedCount,CustomLabel
2006-08-01,AT/SPO.09.AKC.55371.6001.1,2,AKH (Allgemeines Krankenhaus)
2006-09-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus)
2006-10-01,AT/SPO.09.AKC.55371.6001.1,20,AKH (Allgemeines Krankenhaus)
2006-11-01,AT/SPO.09.AKC.55371.6001.1,20,AKH (Allgemeines Krankenhaus)
2006-12-01,AT/SPO.09.AKC.55371.6001.1,26,AKH (Allgemeines Krankenhaus)
2007-01-01,AT/SPO.09.AKC.55371.6001.1,12,AKH (Allgemeines Krankenhaus)
2007-01-01,AT/SPO.09.TAB.56396.6001.1,12,Taborstraße
2007-02-01,AT/SPO.09.AKC.55371.6001.1,16,AKH (Allgemeines Krankenhaus)
2007-02-01,AT/SPO.09.TAB.56396.6001.1,20,Taborstraße
2007-03-01,AT/SPO.09.AKC.55371.6001.1,17,AKH (Allgemeines Krankenhaus)
2007-03-01,AT/SPO.09.TAB.56396.6001.1,21,Taborstraße
2007-04-01,AT/SPO.09.AKC.55371.6001.1,19,AKH (Allgemeines Krankenhaus)
2007-04-01,AT/SPO.09.TAB.56396.6001.1,24,Taborstraße
2007-05-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus)
2007-05-01,AT/SPO.09.TAB.56396.6001.1,16,Taborstraße
2007-06-01,AT/SPO.09.AKC.55371.6001.1,13,AKH (Allgemeines Krankenhaus)
2007-06-01,AT/SPO.09.TAB.56396.6001.1,18,Taborstraße
2007-07-01,AT/SPO.09.AKC.55371.6001.1,5,AKH (Allgemeines Krankenhaus)
2007-07-01,AT/SPO.09.TAB.56396.6001.1,9,Taborstraße
2007-08-01,AT/SPO.09.AKC.55371.6001.1,4,AKH (Allgemeines Krankenhaus)
2007-08-01,AT/SPO.09.TAB.56396.6001.1,13,Taborstraße
2007-09-01,AT/SPO.09.AKC.55371.6001.1,7,AKH (Allgemeines Krankenhaus)
2007-09-01,AT/SPO.09.TAB.56396.6001.1,11,Taborstraße
2007-10-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus)
2007-10-01,AT/SPO.09.TAB.56396.6001.1,24,Taborstraße
2007-11-01,AT/SPO.09.AKC.55371.6001.1,16,AKH (Allgemeines Krankenhaus)
2007-11-01,AT/SPO.09.TAB.56396.6001.1,18,Taborstraße
2007-12-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus)
2007-12-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2008-01-01,AT/SPO.09.AKC.55371.6001.1,23,AKH (Allgemeines Krankenhaus)
2008-01-01,AT/SPO.09.TAB.56396.6001.1,23,Taborstraße
2008-02-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus)
2008-02-01,AT/SPO.09.TAB.56396.6001.1,14,Taborstraße
2008-03-01,AT/SPO.09.AKC.55371.6001.1,9,AKH (Allgemeines Krankenhaus)
2008-04-01,AT/SPO.09.AKC.55371.6001.1,14,AKH (Allgemeines Krankenhaus)
2008-05-01,AT/SPO.09.AKC.55371.6001.1,8,AKH (Allgemeines Krankenhaus)
2008-05-01,AT/SPO.09.TAB.56396.6001.1,11,Taborstraße
2008-06-01,AT/SPO.09.AKC.55371.6001.1,6,AKH (Allgemeines Krankenhaus)
2008-06-01,AT/SPO.09.TAB.56396.6001.1,15,Taborstraße
2008-07-01,AT/SPO.09.AKC.55371.6001.1,7,AKH (Allgemeines Krankenhaus)
2008-07-01,AT/SPO.09.TAB.56396.6001.1,9,Taborstraße
2008-08-01,AT/SPO.09.AKC.55371.6001.1,5,AKH (Allgemeines Krankenhaus)
2008-08-01,AT/SPO.09.TAB.56396.6001.1,9,Taborstraße
2008-09-01,AT/SPO.09.AKC.55371.6001.1,12,AKH (Allgemeines Krankenhaus)
2008-09-01,AT/SPO.09.TAB.56396.6001.1,16,Taborstraße
2008-10-01,AT/SPO.09.AKC.55371.6001.1,20,AKH (Allgemeines Krankenhaus)
2008-10-01,AT/SPO.09.TAB.56396.6001.1,23,Taborstraße
2008-11-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus)
2008-11-01,AT/SPO.09.TAB.56396.6001.1,23,Taborstraße
2008-12-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus)
2008-12-01,AT/SPO.09.TAB.56396.6001.1,17,Taborstraße
2009-01-01,AT/SPO.09.AKC.55371.6001.1,30,AKH (Allgemeines Krankenhaus)
2009-01-01,AT/SPO.09.TAB.56396.6001.1,29,Taborstraße
2009-02-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus)
2009-02-01,AT/SPO.09.TAB.56396.6001.1,18,Taborstraße
2009-03-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus)
2009-03-01,AT/SPO.09.TAB.56396.6001.1,11,Taborstraße
2009-04-01,AT/SPO.09.AKC.55371.6001.1,22,AKH (Allgemeines Krankenhaus)
2009-04-01,AT/SPO.09.TAB.56396.6001.1,27,Taborstraße
2009-05-01,AT/SPO.09.AKC.55371.6001.1,7,AKH (Allgemeines Krankenhaus)
2009-05-01,AT/SPO.09.TAB.56396.6001.1,10,Taborstraße
2009-06-01,AT/SPO.09.TAB.56396.6001.1,3,Taborstraße
2009-07-01,AT/SPO.09.AKC.55371.6001.1,6,AKH (Allgemeines Krankenhaus)
2009-07-01,AT/SPO.09.TAB.56396.6001.1,7,Taborstraße
2009-08-01,AT/SPO.09.AKC.55371.6001.1,3,AKH (Allgemeines Krankenhaus)
2009-08-01,AT/SPO.09.TAB.56396.6001.1,11,Taborstraße
2009-09-01,AT/SPO.09.AKC.55371.6001.1,19,AKH (Allgemeines Krankenhaus)
2009-09-01,AT/SPO.09.TAB.56396.6001.1,24,Taborstraße
2009-10-01,AT/SPO.09.AKC.55371.6001.1,11,AKH (Allgemeines Krankenhaus)
2009-10-01,AT/SPO.09.TAB.56396.6001.1,13,Taborstraße
2009-11-01,AT/SPO.09.AKC.55371.6001.1,22,AKH (Allgemeines Krankenhaus)
2009-11-01,AT/SPO.09.TAB.56396.6001.1,24,Taborstraße
2009-12-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus)
2009-12-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2010-01-01,AT/SPO.09.AKC.55371.6001.1,29,AKH (Allgemeines Krankenhaus)
2010-01-01,AT/SPO.09.TAB.56396.6001.1,29,Taborstraße
2010-02-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus)
2010-02-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2010-03-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus)
2010-03-01,AT/SPO.09.TAB.56396.6001.1,22,Taborstraße
2010-04-01,AT/SPO.09.AKC.55371.6001.1,13,AKH (Allgemeines Krankenhaus)
2010-04-01,AT/SPO.09.TAB.56396.6001.1,17,Taborstraße
2010-05-01,AT/SPO.09.AKC.55371.6001.1,1,AKH (Allgemeines Krankenhaus)
2010-05-01,AT/SPO.09.TAB.56396.6001.1,4,Taborstraße
2010-06-01,AT/SPO.09.AKC.55371.6001.1,4,AKH (Allgemeines Krankenhaus)
2010-06-01,AT/SPO.09.TAB.56396.6001.1,8,Taborstraße
2010-07-01,AT/SPO.09.AKC.55371.6001.1,14,AKH (Allgemeines Krankenhaus)
2010-07-01,AT/SPO.09.TAB.56396.6001.1,16,Taborstraße
2010-08-01,AT/SPO.09.AKC.55371.6001.1,2,AKH (Allgemeines Krankenhaus)
2010-08-01,AT/SPO.09.TAB.56396.6001.1,8,Taborstraße
2010-09-01,AT/SPO.09.AKC.55371.6001.1,6,AKH (Allgemeines Krankenhaus)
2010-09-01,AT/SPO.09.TAB.56396.6001.1,9,Taborstraße
2010-10-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus)
2010-10-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2010-11-01,AT/SPO.09.AKC.55371.6001.1,19,AKH (Allgemeines Krankenhaus)
2010-11-01,AT/SPO.09.TAB.56396.6001.1,19,Taborstraße
2010-12-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus)
2010-12-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2011-01-01,AT/SPO.09.AKC.55371.6001.1,22,AKH (Allgemeines Krankenhaus)
2011-01-01,AT/SPO.09.KEND.64383.6001.1,20,Kendlerstraße
2011-01-01,AT/SPO.09.LOB.64389.6001.1,20,Lobau
2011-01-01,AT/SPO.09.STAD.64391.6001.1,22,Stadlau
2011-01-01,AT/SPO.09.TAB.56396.6001.1,23,Taborstraße
2011-02-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus)
2011-02-01,AT/SPO.09.KEND.64383.6001.1,23,Kendlerstraße
2011-02-01,AT/SPO.09.LOB.64389.6001.1,24,Lobau
2011-02-01,AT/SPO.09.STAD.64391.6001.1,25,Stadlau
2011-02-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2011-03-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus)
2011-03-01,AT/SPO.09.KEND.64383.6001.1,26,Kendlerstraße
2011-03-01,AT/SPO.09.LOB.64389.6001.1,24,Lobau
2011-03-01,AT/SPO.09.STAD.64391.6001.1,26,Stadlau
2011-03-01,AT/SPO.09.TAB.56396.6001.1,26,Taborstraße
2011-04-01,AT/SPO.09.AKC.55371.6001.1,16,AKH (Allgemeines Krankenhaus)
2011-04-01,AT/SPO.09.KEND.64383.6001.1,16,Kendlerstraße
2011-04-01,AT/SPO.09.LOB.64389.6001.1,13,Lobau
2011-04-01,AT/SPO.09.STAD.64391.6001.1,16,Stadlau
2011-04-01,AT/SPO.09.TAB.56396.6001.1,17,Taborstraße
2011-05-01,AT/SPO.09.AKC.55371.6001.1,9,AKH (Allgemeines Krankenhaus)
2011-05-01,AT/SPO.09.KEND.64383.6001.1,11,Kendlerstraße
2011-05-01,AT/SPO.09.LOB.64389.6001.1,3,Lobau
2011-05-01,AT/SPO.09.STAD.64391.6001.1,10,Stadlau
2011-05-01,AT/SPO.09.TAB.56396.6001.1,17,Taborstraße
2011-06-01,AT/SPO.09.AKC.55371.6001.1,3,AKH (Allgemeines Krankenhaus)
2011-06-01,AT/SPO.09.KEND.64383.6001.1,3,Kendlerstraße
2011-06-01,AT/SPO.09.STAD.64391.6001.1,3,Stadlau
2011-06-01,AT/SPO.09.TAB.56396.6001.1,7,Taborstraße
2011-07-01,AT/SPO.09.AKC.55371.6001.1,2,AKH (Allgemeines Krankenhaus)
2011-07-01,AT/SPO.09.KEND.64383.6001.1,3,Kendlerstraße
2011-07-01,AT/SPO.09.STAD.64391.6001.1,2,Stadlau
2011-07-01,AT/SPO.09.TAB.56396.6001.1,4,Taborstraße
2011-08-01,AT/SPO.09.AKC.55371.6001.1,8,AKH (Allgemeines Krankenhaus)
2011-08-01,AT/SPO.09.KEND.64383.6001.1,9,Kendlerstraße
2011-08-01,AT/SPO.09.LOB.64389.6001.1,5,Lobau
2011-08-01,AT/SPO.09.STAD.64391.6001.1,6,Stadlau
2011-08-01,AT/SPO.09.TAB.56396.6001.1,13,Taborstraße
2011-09-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus)
2011-09-01,AT/SPO.09.KEND.64383.6001.1,10,Kendlerstraße
2011-09-01,AT/SPO.09.LOB.64389.6001.1,3,Lobau
2011-09-01,AT/SPO.09.STAD.64391.6001.1,8,Stadlau
2011-09-01,AT/SPO.09.TAB.56396.6001.1,12,Taborstraße
2011-10-01,AT/SPO.09.AKC.55371.6001.1,15,AKH (Allgemeines Krankenhaus)
2011-10-01,AT/SPO.09.KEND.64383.6001.1,15,Kendlerstraße
2011-10-01,AT/SPO.09.LOB.64389.6001.1,13,Lobau
2011-10-01,AT/SPO.09.STAD.64391.6001.1,17,Stadlau
2011-10-01,AT/SPO.09.TAB.56396.6001.1,19,Taborstraße
2011-11-01,AT/SPO.09.AKC.55371.6001.1,30,AKH (Allgemeines Krankenhaus)
2011-11-01,AT/SPO.09.KEND.64383.6001.1,30,Kendlerstraße
2011-11-01,AT/SPO.09.LOB.64389.6001.1,29,Lobau
2011-11-01,AT/SPO.09.STAD.64391.6001.1,29,Stadlau
2011-11-01,AT/SPO.09.TAB.56396.6001.1,30,Taborstraße
2011-12-01,AT/SPO.09.AKC.55371.6001.1,12,AKH (Allgemeines Krankenhaus)
2011-12-01,AT/SPO.09.KEND.64383.6001.1,12,Kendlerstraße
2011-12-01,AT/SPO.09.LOB.64389.6001.1,10,Lobau
2011-12-01,AT/SPO.09.STAD.64391.6001.1,15,Stadlau
2011-12-01,AT/SPO.09.TAB.56396.6001.1,16,Taborstraße
2012-01-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus)
2012-01-01,AT/SPO.09.KEND.64383.6001.1,10,Kendlerstraße
2012-01-01,AT/SPO.09.LOB.64389.6001.1,9,Lobau
2012-01-01,AT/SPO.09.STAD.64391.6001.1,11,Stadlau
2012-01-01,AT/SPO.09.TAB.56396.6001.1,10,Taborstraße
2012-02-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus)
2012-02-01,AT/SPO.09.KEND.64383.6001.1,21,Kendlerstraße
2012-02-01,AT/SPO.09.LOB.64389.6001.1,18,Lobau
2012-02-01,AT/SPO.09.STAD.64391.6001.1,21,Stadlau
2012-02-01,AT/SPO.09.TAB.56396.6001.1,21,Taborstraße
2012-03-01,AT/SPO.09.AKC.55371.6001.1,19,AKH (Allgemeines Krankenhaus)
2012-03-01,AT/SPO.09.KEND.64383.6001.1,18,Kendlerstraße
2012-03-01,AT/SPO.09.LOB.64389.6001.1,16,Lobau
2012-03-01,AT/SPO.09.STAD.64391.6001.1,21,Stadlau
2012-03-01,AT/SPO.09.TAB.56396.6001.1,20,Taborstraße
2012-04-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus)
2012-04-01,AT/SPO.09.KEND.64383.6001.1,10,Kendlerstraße
2012-04-01,AT/SPO.09.LOB.64389.6001.1,8,Lobau
2012-04-01,AT/SPO.09.STAD.64391.6001.1,12,Stadlau
2012-04-01,AT/SPO.09.TAB.56396.6001.1,13,Taborstraße
2012-05-01,AT/SPO.09.AKC.55371.6001.1,3,AKH (Allgemeines Krankenhaus)
2012-05-01,AT/SPO.09.KEND.64383.6001.1,4,Kendlerstraße
2012-05-01,AT/SPO.09.LOB.64389.6001.1,1,Lobau
2012-05-01,AT/SPO.09.STAD.64391.6001.1,2,Stadlau
2012-05-01,AT/SPO.09.TAB.56396.6001.1,7,Taborstraße
2012-06-01,AT/SPO.09.AKC.55371.6001.1,5,AKH (Allgemeines Krankenhaus)
2012-06-01,AT/SPO.09.KEND.64383.6001.1,5,Kendlerstraße
2012-06-01,AT/SPO.09.LOB.64389.6001.1,4,Lobau
2012-06-01,AT/SPO.09.STAD.64391.6001.1,5,Stadlau
2012-06-01,AT/SPO.09.TAB.56396.6001.1,6,Taborstraße
2012-07-01,AT/SPO.09.AKC.55371.6001.1,9,AKH (Allgemeines Krankenhaus)
2012-07-01,AT/SPO.09.KEND.64383.6001.1,9,Kendlerstraße
2012-07-01,AT/SPO.09.LOB.64389.6001.1,6,Lobau
2012-07-01,AT/SPO.09.STAD.64391.6001.1,11,Stadlau
2012-07-01,AT/SPO.09.TAB.56396.6001.1,11,Taborstraße
2012-08-01,AT/SPO.09.AKC.55371.6001.1,3,AKH (Allgemeines Krankenhaus)
2012-08-01,AT/SPO.09.KEND.64383.6001.1,4,Kendlerstraße
2012-08-01,AT/SPO.09.STAD.64391.6001.1,7,Stadlau
2012-08-01,AT/SPO.09.TAB.56396.6001.1,8,Taborstraße
2012-09-01,AT/SPO.09.AKC.55371.6001.1,6,AKH (Allgemeines Krankenhaus)
2012-09-01,AT/SPO.09.KEND.64383.6001.1,7,Kendlerstraße
2012-09-01,AT/SPO.09.LOB.64389.6001.1,5,Lobau
2012-09-01,AT/SPO.09.STAD.64391.6001.1,6,Stadlau
2012-09-01,AT/SPO.09.TAB.56396.6001.1,7,Taborstraße
2012-10-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus)
2012-10-01,AT/SPO.09.KEND.64383.6001.1,10,Kendlerstraße
2012-10-01,AT/SPO.09.LOB.64389.6001.1,7,Lobau
2012-10-01,AT/SPO.09.STAD.64391.6001.1,12,Stadlau
2012-10-01,AT/SPO.09.TAB.56396.6001.1,15,Taborstraße
2012-11-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus)
2012-11-01,AT/SPO.09.KEND.64383.6001.1,24,Kendlerstraße
2012-11-01,AT/SPO.09.LOB.64389.6001.1,21,Lobau
2012-11-01,AT/SPO.09.STAD.64391.6001.1,25,Stadlau
2012-11-01,AT/SPO.09.TAB.56396.6001.1,25,Taborstraße
2012-12-01,AT/SPO.09.AKC.55371.6001.1,19,AKH (Allgemeines Krankenhaus)
2012-12-01,AT/SPO.09.KEND.64383.6001.1,19,Kendlerstraße
2012-12-01,AT/SPO.09.LOB.64389.6001.1,18,Lobau
2012-12-01,AT/SPO.09.STAD.64391.6001.1,21,Stadlau
2012-12-01,AT/SPO.09.TAB.56396.6001.1,23,Taborstraße
